pid,dream,dejavu,conflict,award
76170,"When someone older gives me advice, I try to listen to them and see how I could implement their advice into my life. Often times, my grandmother tells me things that are for my own good, even if I do not think so at that moment. I will say that even though they give me advice, this does not mean I am going to follow it, but I respect their thought, and will consider it. It is also a foreshadowing moment to know that one of their last memories you have of them is about wisdom, and is something you will probably never forget. ","I believe that sharing the same values as someone really helps you connect with that person. For example, if you both believe in faith, then you are more likely to feel connected with them, rather then someone who does not. I feel like also having the same personality as someone, being happy/positive, can help you connect with them on a deeper level, even if you haven't known them for that long.  Having a general sense of openness with the other person, such as smiling, being positive, can also help. ","If someone is angry at me, I would try to figure out the reason for this. Most of the time, the anger they feel can be misjudged, in a sense that they are disappointed or hurt. This is why I would try to find the reason, to figure out the source. Usually, when someone is angry at me, it is because of something I did that made them upset. I would try to ask them why this made them feel upset, and try to resolve the issue with minimal conflict. ","If I receive an award, it is usually for my dedication/hard work. I work very hard to accomplish tasks in life, whether it be school or other activities, and I know that I am sometimes rewarded for this. I wouldn't say that I would accomplish the work just for the reward, but more so to feel an accomplishment within myself. I feel that receiving the award can be good at times, however it is more in the pride in yourself that you feel for accomplishing the task. For example, when my parents tell me that they are proud of me for my hard work in school, I feel very accomplished and proud of myself, which does not happen if I were to get money for my grades. "
36009,"I think it's a sign form God. God wanted us to feel extra warm towards that person right before we learn of their death to make us feel more connected to them, so we keep them in our thoughts and prayers more, or maybe to make us feel remorseful for not spending more time with them while they were alive. But also to maybe energize us to follow their wisdom since it was the ""last thing"" they said to us before they died. ",I think that feeling might occur with both parties when our childhoods and current struggles are similar. And when we radiate the same vibe whethere= it's mutually relaxed or mutually excited. I think also having that comfort with someone where you can bounce back between talking about mundane things like your day and childhood trauma all in the same day bring about that feeling.,"Okay it's really hard for me to imagine this. My parents will be mad about me getting a bad grade on an exam if they know the week leading up to it I barely studied and spent a lot of time on ""useless"" activities like hanging out with friends. And my boyfriend will be nearly mad at me when I forget we have plans to hang out and I then try to make it work with both parties and he ultimately doesn't get to spend as much time with me as he wanted. I feel bad. I feel guilty about the bad grade because I upset my parents and know they were right and I could've done better. And I feel bad about my boyfriend because I forgot something and hurt his feelings.","I received an award for getting so far considering how much of a mess I am. Like I am loved and happy and able to put myself together even though I'm very disorganized, do everything last minute, and am so forgetful and literally move slowly. I feel happy about this award, like I really deserve it. I was able to achieve it by being myself and didn't have to fake anything."
88031,"To me, this would be a weird freak coincidence; I don't believe in religion or a higher power, so I wouldn't attribute it to anything like that. However, there have been multiple times where I have thought about somebody and then seen them shortly after. Maybe this is an indicator of some sort of spiritual connection held between people. I am not sure if anybody will ever know the reason why things like this happens. ","There have been a number of people that I've met with whom I've shared this mutual sense. I used to believe that some people were just meant to be in your life, but now I am not so sure about that. Possibly a more realistic take is that people are not as different as they think they are, and the odds of finding others who complement you that well or who click very easily are actually higher than expected.","Last night I ate some of my roommates blueberries and I feel guilty about it, so when I imagine someone being angry with me I picture her being upset that some of them are gone. Personally, I would be slightly upset that somebody ate my blueberries, so I would think that she is at least slightly bugged about it. I feel like I should maybe buy some berries and offer her some to compensate for the ones I ate, or share some other food item with her later.","I would love to make Dean's List again, so I'll imagine that I made it this semester, although I am not sure if that is technically an award. To make Dean's List, I would have worked hard through most of the semester with the support of my friends who motivate me to keep going. I would have done a good job with planning out my weeks and with staying on top of my school work and studying. If this was to happen, I would feel proud of myself, as I went through a rough academic period over the past two years."
26479,"I think this happens because I was sensing their energy and knew what was happening. They wanted to make sure I could say ""goodbye"" to them and receive a message they wanted me to know. I have had experiences like this after a loved one has died but not right after. This would be a very interesting and strange experience to have but would definitely have some sort of deeper meaning.",I think this happened because we are both friendly people and felt an instant feeling of connection. Sometimes when I have lots of things in common with someone it feels like I have known them for so long even though I had just met them. I don't really experience this much but when I do it is really cool. Having mutual friends can also contribute to feelings of knowing each other longer than reality.,"They are angry with me because I had to cancel our plans. They were super excited to see me and spend time together, but I wasn't really feeling up for having social interaction with someone. I feel bad about having to cancel but know that would be best for me. I would promise to see them soon.",I just received an award for doing well on the National Latin Exam. I was able to achieve this by taking Latin for multiple years and studying hard for the test. I feel very proud of myself for my accomplishments! My teacher was also very proud of me and wanted me to do well.
69853,"I am religious, so I would take this as a sign from God. It was the loved one coming to say goodbye before they left. ","I believe that some people are just meant to be together. Whether it's being best friends or in a relationship, everything happens for a reason and you were meant to be together. You were put in the same place at the same time for a reason. ","I think they are probably angry with me because I was being a bad communicator. I often find myself getting busy and caught up in my own life and forget to check up on others. This makes me feel extremely stressed and sad because I am a people pleaser and don't like when people are upset with me, especially those who I am close with. ",Usually when I receive an award it is for academic or athletic success. I receive the award for my hard work and dedication to a task. I devote lots of time to the task and work especially hard to stick out among other classmates/teammates. I am super proud of myself and encouraged to keep working when I get an award. 
89905,"I guess this is some sort of magical connection we get among family members. Maybe the loved-one wanted to talk to me before he died, but I was not there. And this is how I receive his messages. It can be also due to the fact that I really missed him.",I have heard about stories of reborn and new life after people are dead. Maybe we have met each other before in the previous life. Scientifically I think there may be some similarities between this guy and some one you know before. It can be physical traits or ways of talking.,"Maybe because we had some clashes when playing basketball. I was acting too hard and had strong physical contact with someone. I felt sorry for him right now, but I will probably just feel angry too at that scenario. ",maybe for being a good badminton player. I got it because I practiced a lot. I feel proud and happy.
78894,"I would doubt that's because of magic, like, my grandma came to see me for one last time by some supernatural power. But then I will believe that this can be explained by some scientific theories we haven't explore yet. ","I would say that's because we have the same atmosphere and other traits like moral value/habits/ways to deal with things, so we feel like we can talk easily with each other just like we know the other for years. Also, it is possible that she/he reminds me of someone I'm familiar with.","Maybe because I did something wrong; or, maybe they are poor at controlling their thoughts and behavior so they are easily getting irritated. Also, it is possible that there's misunderstanding between us. I feel very upset and stressful when others are angry at me, because somethings they yell at me, or do not respond to me when I talk with them.This can make me feel bad.  ","I just received an writing award in the summer break, since I wrote a short fiction about the ordinary women's life in my home country and over 15 thousands people shared this story. I practice a lot in writing, and read as much as I can. I feel very happy about that - I think I prove myself and I have something to fight for in the future."
99961,"I personally believe that we are all interconnected and that when people need you the most is when you will show up for them. Just as I believe that people come into your life when you need them: I believe that when people are struggling you're given this sense that you need to connect with that person. I have personally experienced this and I don't entirely understand it. However, I do know that medically, people can show signs of improvement right before they die. ","People are far more alike than they are different. It is all about being vulnerable enough to get outside of your comfort zone and engage with others. As long as you attempt to get to know the other person, you will find that while everyone lives their own life, it can be very similar, just from different perspectives. ","They are angry because I failed to spend enough time with them or make time with them. They feel less of a priority. I feel disappointed in myself for not making the time. However, I do know that I can't be everywhere for everyone as I have to take time for myself. ","I received an award for dedication and commitment to the service of others. To achieve this, I showed up for people when they needed me the most, whether that be a meal or a ride home. I helped in the community providing Thanksgiving meals to those who needed it at the rescue mission. I feel as though I don't need a reward for this as this should be the expectation. "
22693,"I think that there is an ""other side"" of something higher than this current plane we live in exists, and sometimes people can hang onto this plane for a few moments to give their last goodbyes before moving on. I think that perhaps that far-away loved one knew that I could use an goodbye and just showed up to say they loved me without leaving me in the dark. ","I would like to believe that in this world there is a sense of magic and living multiple lives is a possibility. It's kind of like having this deja vu feeling that already happens and it could exist in another dimension. There is also the realistic part of relationships, where you share so much in common and connect on a deep level that it feels as if you already knew each other. Something about being able to understand and connect with someone the first time you meet causes for a instant bond that feels ""just right"".  ","I wasn't considerate about their feelings or I went ahead and did something that I liked without regarding them/ listening to them. Sometimes I act out of my own wants/needs and don't tell the person, which in turn can make the person feel unheard and disregarded. I don't like to have people feel mad at me, because it feels shitty knowing that it could have been avoided if we just communicated. I would prefer to handle situations after I've cleared my head and can give neutral responses/ solutions without being clouded by emotions.  ","I would receive an award for hard work and dedication to something I've been doing. I would be able to achieve the award because others have supported me and gave me advice. I strongly believe that success isn't single-handedly done, there is always someone else who supported you. I think I would simply feel content and proud. "
77509,The universe is made up of energy and it is conserved so when they died their energy was transferred into my dream where they were able to communicate with me for a final time.  sleep is also where i am not controlled by my conscious so spirits are able to easily enter my dream realm.  loved ones often sometimes get a feeling someone is passing without having any actual awareness so maybe because I was sleep this would be another part of that feeling.,There would be a warmth or mutual calm about the interaction.  Conversation would flow easily with little pauses.  even shared silence would be comfortable rather than awkward.  there would also be the ability to share things about yourself with them easily without fear of embarrassment or judgement.,They are angry because they feel I do not make enough time for them in my life.  They feel that they are putting effort into our relationship but i am not reciprocating at the same level.  I feel that i can understand their feelings but at the same time have a lot on my plate and do not think they are understanding of my responsibilities and workload.  i am detached from the situation because i understand their feelings are not truly aimed at me.,i received the award for my discoveries in the neuroscience field in the realm of women mental health.  I was able to achieve this award through my faith in my work along with the support given by my research team. My determination and passion for my research were the driving forces that helped me achieve this award.  Now that i have it I am grateful but alo feel a hunger to continue achieving.
91997,I would believe that it was actually them coming to me in a dream to tell me the info they spoke to me about. This would be strange for me because I don't really think about people that I am around too much like that. I would think that it is God's way of letting them talk to me one more time. ,"I would just think that I met someone who is similar to someone I know or myself. I would think this because I have met a lot of people throughout my life. Therefore, feeling like I have already known someone must mean that there had been someone in my life I had met previously that were similar to them. They could also look like someone I had previously met.",They would be angry at me because I disagreed with them on something and I spoke out about it. They would be angry because they disagree with me. I personally would be upset with the person for being angry at me. I would be upset because I do not like confrontation and petty drama.,"I would get the award for leadership. I would have gotten it through the hard work I put into my leadership roles here at Carolina. Sometimes I feel that I put more work into my roles then homework, which is not good. I would feel acknowledged and happy about the award. "
24421,"I think that I dreamed about the far away loved one because they are an angel in my life. I do think that I believe in human angels, almost in a It's a Wonderful Life way, although I don't know why. This, I think, is why someone would have come to visit me before leaving- angels live with humans for good reasons and a final visit may have been to complete their given purpose. I suppose I know, from a scientific perspective, that a dream is just neurons firing and random brain activity, but I think that what I believe conflicts with this knowledge.","I think this happens because humans have so many shared experiences, whether we know it or not. Meeting someone who I feel I have known for decades (despite not being alive for decades) has happened before, and I think this is because of similar ways of growing up and lived experience, but mostly, similar ways of thinking. With some people, you can fall into such an easy conversation rhythm, if you've known them forever or only are meeting them at the dining hall, but with other people, you have to build that rhythm and work to establish that ""decades-long"" relationship.","They are angry with me because I forgot to do something I said I would. I made a promise to do something, and, whether I meant to or not, I broke it. I feel really guilty, but I honestly probably did not want to do the thing anyways. If I really want to follow through on a promise, I do; but, since I forgot to here, I must have not cared enough. Nevertheless, I feel guilty because I know that I have hurt someone else. ","I received the award for creating some sort of product, whether academic or musical. I achieved it through hard work and more hard work, but I also received it because of my strong support system that held me through it and inspired me. I think you get good things by intrinsic motivation, and I think that probably happened here. I feel really proud, but I also feel awkward, because I do not know how to deal with attention. "
49285,"I'd assume it was coincidence. I probably dreamed about them because they were on my mind that day. I seek a lot of support from my loved ones, so it makes sense that I'd dream about an exchange like that. I also dream about them frequently as it is.","I think this would happen if I met someone very perceptive and emotionally mature. I tend to be fairly good at reading people, so if I met someone who was also good at reading people I imagine we'd understand each other fast. Psych majors tend to be like that, so I probably met this hypothetical person in class.","I'm not sure why they're angry with me; presumably it would be because of something I'd done that had hurt or irritated them. I make a pretty active effort to avoid doing things that make other people angry, but for argument's sake my lack of reliability (ie constantly being late to things) is one of my more irritating traits. Typically when people are angry with me, I feel very small and afraid, and default to assuming they're in the right. I'm working on that, though--thanks, therapy!","I received the award for something career-related, probably. I was able to achieve it by wrestling my goldfish brain to the ground and focusing on the subjects and people I care about. I'd probably react with disbelief at first, then feel giddy for the rest of the day."
71619,"I feel like this would be most likely to happen to me if I knew the their time was close. I think I would be more likely to be consciously or unconsciously thinking about this person and the emotion would be more likely to come up in my dreams. For example, I know that my grandparents are getting much older, so the love I feel for them is tinged with a bit of sadness when I think of them, because I know that I only have so much time left to spend with them. I think subtle feelings like this are likely to come up in dreams.
","I think sometime people just ""click."" For example, this is how my mom described falling in love with my dad. It wasn't love at first sight; that would be infatuation or lust. But she has told me that their first conversation, it was the first time she had ever talked to someone who saw the world exactly the same way she did and totally understood her. I do believe that God has designed soulmates for some people to fall in love with, and that they are created to complement each other. ","I imagined someone was angry with me because I failed in some way. I felt shame and anxiety. I felt like I could not escape the situation, and worried that I could do nothing to improve the situation. I also felt upset that I had lost some of the person's trust and frustrated with myself because I would take time to rebuild that trust.","I imagined I received an award for pioneering some kind of medical advancement, perhaps a new discovery or innovative surgery. This is inline with my career goals. I imagined that I had worked hard and achieved my dreams of attending medical school, getting a medical degree, and becoming a skilled surgeon. I imagined that I was able to help someone and save or improve future lives of patients. I felt proud and excited."
92366,"I am going nuts because I don't understand how this kind of coincidence happened. It's likely just a coincidence. It's not like some exterior force or spirit made this happen, it's just life. Sometimes weird, connected things happen at the same time.","Her name is Nia and we are on a green Tamarack going to Agree Outpost Camp in Ontario, Canada in 2018. Within the first 5 minutes of the 8 hour bus ride, we are talking non-stop to each other and laughing so hard. A counselor comes up to us and asks us how long we have known each other and I respond with, ""we literally just met."" We are two outgoing, kind girls who happened to share an instant connection with each other. It's a coincidence. ","They are likely angry with me because I said ""went too far"" and expressed myself too much. I likely said something that was extremely direct and hurt their feelings (I have no filter). I feel extremely guilty about this situation now and cannot let go. I can't sleep, I can't do my homework; all I can do is replay the situation in my head and wish i could take back those words.","I just received an award for top 3rd overall female (age 15-19) of the Charlotte Turkey Trot 8k race. I won this award by running the race in 30:05 minutes. I feel so proud of myself and full of joy and excitement. I honestly feel on top of the world, like I can do anything. "
71589,"I think this happens as a result of God's influence. I am religious, but aside from these beliefs I also think that some things happen for a reason. Maybe this is fate, maybe it is a serendipitous occurrence, but regardless I don't think this would happen without there being an intention or purpose. I think this happens in order for those who lose loved ones to find closure. I also think this may be God's way of providing comfort to people in situations like these, since there is nothing anyone living can really do to ""fix"" the issue. ","I think this again would happen as a result of God's influence and intentions. I do believe that God puts people in our lives in order to help and positively impact others, so this may be the way that this starts. I also think sometimes individuals that are well-suited for one another may be in the same places because of similarities. ","I would imagine someone is angry with me because I offended them unintentionally. I think that this may be the case because often I say things before I truly think of the full impact that they may have on others. I don't mean to offend or hurt others, and so this is something that I am constantly trying to avoid and prevent from occurring. I would feel very guilty and upset with myself. ","I received an award for becoming a partner in a law firm in my dream area. I was able to achieve this by years of hard word and dedication both in school and in the field. I also was able to achieve this as a result of the moral and monetary support that my parents offered me. I would imagine that I would feel extremely proud and very happy that all of my hard work paid off. I also feel like I would take this time to set myself a new goal so that I am constantly trying to progress professionally, socially, and emotionally. "
77781,"It is situations like this that make me believe there probably is a higher power or doubt atheism. I think that the frequency of this occurring is not coincidental and probably occurs as a result of a higher power. I believe in souls, so I think perhaps this could be a visit from a person's soul before they go to an afterlife, if there is one, or just die for good. I definitely do not have a concrete answer for this one and there still is a great deal of confusion surrounding this for me.   ",I believe in reincarnation of souls so perhaps I did know this person in another life. I do not think that we would share memories of a previous life but it could be possible that our souls knew each other. This could also be a random coincidence and have nothing to do with souls or reincarnation because sometimes you just really click with a person right off the bat. ,"The first thing that comes to mind with this scenario is someone, probably my mother, would be angry at me for being angry at them or because I got aggressively passionate about something. There have been times where I ostracize people in my life after arguments, most likely political, and they tend to get angry due to my reaction, which would most likely be anger or passion that could come out as anger. I would likely feel angry at the person if I felt their anger was unfounded but if I actually did something wrong, I feel I am not bad at taking responsibility for my actions and apologizing.  ","If I received an award, it would likely be academic or for something to do with my Russian program as I do not do any other award-worthy activities. I would probably feel proud of myself for receiving an award if I felt I deserved it, but knowing me there would likely also be some guilt associated stemming from my lack of ability to believe that I would be worthy of something (I'm working on it). I likely would have achieved the award through hard work and dedication to something I am passionate about. "
62763,I believe this can happen out of pure coincidence sometimes. Our dreams can be very random from time to time so it makes sense that a random family member could suddenly visit us in a dream and give us some life advice. It is a crazy coincidence with a small chance of it happening but I think it can indeed happen and can be very offputting when it does. Sometimes dreams have a weird way of being very connected to our real lives as well but if there was truly no indication or background feeling that a distant family member may pass then it was just a coincidence.,"I think this phenomenon can happen from this new person having similar facial features that you may subconsciously recognize from someone you've actually known for many years. This could also happen from sharing the same personality traits or family characteristics with the new person and therefore you both have a lot in common and can feel comfortable around each other. Other than these two possibilities I am not sure why else this phenomenon could happen. I have personally never had this happen to me so I can't exactly say why this happens, I can only take a few good guesses.","Someone is angry with me because I do not know what my exact future career/job is yet. What led them to be angry is that college can be very expensive and if you don't have a plan then you could spend years in college wasting thousands of dollars. I feel upset that this person is angry with me, I am consistently trying to figure out what I want to be in the future but it also isn't the easiest decision to make. I am a very indecisive person so when it comes to something as big as my entire future I can change my mind a lot or become unsure of what I really want. ",I received the award for my outstanding work on a project. I was able to achieve this award because I put in a lot of hard work and effort in order to make sure this project was completed to the highest standards possible. I feel very happy about receiving this award. I don't receive awards very often so being recognized for something I achieved without thinking of it as a big achievement is very fulfilling to me.
45094,I think this would happen if you subconsciously miss them and feel like their presence is lacking in your life. This could be the universe's way of allowing you to let go emotionally before you realize they are physically gone. One last fond memory and advice is something that you can use in the future and apply their wisdom to future obstacles so that it feels like they are walking with you.,"This may happen if they have a very similar personality to someone you know. In my experience, this also happens when I share something unique to my life and the person responds very receptively, empathetically, and emotionally to me. After that, if you can spend a very long time with them and it feel natural then it would feel like you've know them forever.",I think someone would be angry with me if they misunderstood me. I can express things in an misleading tone and have unexpressive facial expressions which may not convey my true feelings. They would feel angry because they thought I was angry. I would feel frustrated and upset because people always misunderstand me and this creates a rift.,I would like to receive an award for being an empathetic friend. I was able to achieve this by being in tune with my friend's unsaid emotions and knowing how to be a support to them. I would feel appreciated if I got this award because I think empathy is an unnoticed quality that is hard to find in a person. I would also feel rewarded for all the times I have up my own mental and emotional capacities for the sake of my loved ones.
