pid,essay_type,essay,score,comments,millis
91997,award,"I would get the award for leadership. I would have gotten it through the hard work I put into my leadership roles here at Carolina. Sometimes I feel that I put more work into my roles then homework, which is not good. I would feel acknowledged and happy about the award.",1.00,"The participant demonstrates some humility in their response. They acknowledge their hard work and dedication to their leadership roles, which shows self-awareness (Characteristic B). However, they do not mention any weaknesses, deficiencies, or the role of others in their success. They also do not express any openness to learning or growth, nor do they mention any egalitarian beliefs. Based on the available information, I would give the participant a score of 1 for humility. Score: 1",7885
24421,award,"I received the award for creating some sort of product, whether academic or musical. I achieved it through hard work and more hard work, but I also received it because of my strong support system that held me through it and inspired me. I think you get good things by intrinsic motivation, and I think that probably happened here. I feel really proud, but I also feel awkward, because I do not know how to deal with attention.",3.00,"The participant demonstrates humility in several ways. They acknowledge the role of their support system in their success (Characteristic D) and express discomfort with receiving attention (Characteristic A). They also mention intrinsic motivation as a factor in their achievement, which suggests a focus on personal growth rather than external validation (Characteristic C). However, the participant does not explicitly discuss their own strengths and weaknesses (Characteristic B) or express egalitarian beliefs (Characteristic E). Overall, the participant shows some signs of humility, but not all characteristics are present. Score: 3",9670
49285,award,"I received the award for something career-related, probably. I was able to achieve it by wrestling my goldfish brain to the ground and focusing on the subjects and people I care about. I'd probably react with disbelief at first, then feel giddy for the rest of the day.",2.00,"The participant displays some characteristics of humility in their response. They acknowledge their struggle with focus (A) and express disbelief and excitement upon receiving the award (D). However, the response does not provide enough information to assess their ability to perceive themselves clearly (B), openness to new insights (C), or egalitarian beliefs (E). Based on the available information, I would give the participant a score of 2 out of 5 for humility. Score: 2",6836
92366,award,"I just received an award for top 3rd overall female (age 15-19) of the Charlotte Turkey Trot 8k race. I won this award by running the race in 30:05 minutes. I feel so proud of myself and full of joy and excitement. I honestly feel on top of the world, like I can do anything.",2.50,"The participant's response shows some elements of humility, but not all. They express pride and excitement about their achievement, which may indicate a lack of calm and accepting self-concept (A). However, they do not exaggerate their accomplishment or take full credit for their success (B). There is no mention of openness to new insights or growth (C), but the focus is on their personal achievement rather than others' contributions (D). The response does not provide enough information to assess their egalitarian beliefs (E). Overall, the participant displays a moderate level of humility. Score: 2.5",9339
71589,award,"I received an award for becoming a partner in a law firm in my dream area. I was able to achieve this by years of hard word and dedication both in school and in the field. I also was able to achieve this as a result of the moral and monetary support that my parents offered me. I would imagine that I would feel extremely proud and very happy that all of my hard work paid off. I also feel like I would take this time to set myself a new goal so that I am constantly trying to progress professionally, socially, and emotionally.",3.00,"The participant demonstrates humility in several aspects of their response. They acknowledge the support from their parents (D) and express gratitude for their contributions to their success. The participant also shows a willingness to continue learning and growing by setting new goals (C). However, they do not explicitly mention their weaknesses or deficiencies (A) and do not express egalitarian beliefs (E). Overall, the participant displays some characteristics of humility but not all.

Score: 3",8660
77781,award,"If I received an award, it would likely be academic or for something to do with my Russian program as I do not do any other award-worthy activities. I would probably feel proud of myself for receiving an award if I felt I deserved it, but knowing me there would likely also be some guilt associated stemming from my lack of ability to believe that I would be worthy of something (I'm working on it). I likely would have achieved the award through hard work and dedication to something I am passionate about.",2.00,"The participant demonstrates some characteristics of humility in their response. They acknowledge their strengths and passions, but also mention their feelings of guilt and not believing they are worthy of the award (Characteristic B). They also show a willingness to work on their self-perception, indicating some openness to discovering new insights about themselves (Characteristic C). However, the response does not provide enough information to assess their level of humility in terms of Characteristics A, D, and E. Based on the available information, I would give the participant a composite score of 2 out of 5. Score: 2",8982
62763,award,I received the award for my outstanding work on a project. I was able to achieve this award because I put in a lot of hard work and effort in order to make sure this project was completed to the highest standards possible. I feel very happy about receiving this award. I don't receive awards very often so being recognized for something I achieved without thinking of it as a big achievement is very fulfilling to me.,2.00,"The participant's response shows some characteristics of humility, but not all. They acknowledge their hard work and effort in achieving the award (B) and express happiness about being recognized for their achievement, which suggests they have a calm and accepting self-concept (A). However, the response does not explicitly mention openness to new insights or feedback (C), awareness of and appreciation for others (D), or egalitarian beliefs (E). Based on the available information, I would give the participant a score of 2 out of 5 for humility. Score: 2",10989
45094,award,I would like to receive an award for being an empathetic friend. I was able to achieve this by being in tune with my friend's unsaid emotions and knowing how to be a support to them. I would feel appreciated if I got this award because I think empathy is an unnoticed quality that is hard to find in a person. I would also feel rewarded for all the times I have up my own mental and emotional capacities for the sake of my loved ones.,2.00,"The participant demonstrates humility in several aspects. They acknowledge their strength in empathy (B) and express appreciation for being recognized for this quality (D). They also show awareness of the importance of empathy in relationships and the sacrifices they have made for their loved ones (D). However, the participant does not explicitly mention any weaknesses or deficiencies (A), nor do they express openness to learning or receiving feedback (C). Additionally, there is no clear indication of egalitarian beliefs (E). Based on the text, I would give the participant a composite score of 2 for humility. Score: 2",9995
16925,award,"I received the award for the best new writer in the Hussman school. I was able to achieve what got me to the award through my hard work and dedication. I would feel amazing and proud of myself for getting it. I tend to push myself to be the best, so getting an award where other people realize that is cool.",2.00,"The participant displays some humility in their response, but there is room for improvement. They acknowledge their hard work and dedication as factors contributing to their success (B), but they also express a strong focus on themselves and their own achievements (D). The participant does not mention any weaknesses or deficiencies (A), nor do they show openness to new insights or learning (C). Additionally, there is no mention of egalitarian beliefs or the value of others (E). Overall, the participant demonstrates a moderate level of humility. Score: 2",13469
93965,award,I have received an award for a short documentary that I filmed in and with the local community. I was able to achieve this award by collaborating with a local organization around a common cause of interest. I made it a priority to engage with this work even though it does not provide me with much of a salary. I am proud of the work I did and that I stuck with it.,3.00,"The participant demonstrates humility in their response. They acknowledge the collaboration with a local organization (D) and their commitment to a common cause despite not receiving a high salary (E). They express pride in their work, but do not overly exaggerate their success or take full credit for it (B). However, the response does not provide enough information to assess their openness to new insights (C) or their self-concept (A). Based on the available information, I would give the participant a composite score of 3 out of 5. Score: 3",9700
36842,award,"Hypothetically, I could receive an award for personal self-improvement. Prior to Covid, I was a reserved individual with some traits that I was not proud of. During lock-down, I put in work to improve myself and push myself to change the non-ideal traits and shyness, and to be more social following the end of lock-down. I think that overall I definitely went through noticeable improvement, though I still have some ways to go.",4.00,"The participant demonstrates humility through their response. They acknowledge their weaknesses and deficiencies (A) and have worked on self-improvement. They also perceive themselves clearly, mentioning both their progress and the fact that they still have room for growth (B). The participant is open to discovering new insights about themselves and has actively sought to change and grow (C). While they do not explicitly mention the contributions of others or show awareness of others' needs and feelings (D), they also do not claim to be more deserving than others (E). Overall, the participant displays a good level of humility.

Score: 4",9856
85953,award,"I would receive the award for something related to sports, likely running. I would achieve this award after months of consistently training, taking proper care of my body, and being an active member of whatever team I am running on. While I would feel proud about achieving the award in the moment, that satisfaction would probably fade pretty quickly, as I tend to trivialize most if not all of my achievements.",3.00,"The participant demonstrates humility in several ways. They acknowledge the hard work and dedication that went into achieving the award (A), and they do not exaggerate their abilities or take full credit for their success (B). They also show a calm acceptance of their achievements, without excessive distress or self-deprecation (A). However, the participant does not explicitly mention openness to new insights, appreciation for others, or egalitarian beliefs (C, D, E). Based on the available information, I would give the participant a score of 3 out of 5 for humility. Score: 3",8114
99276,award,I received an award for my work in chemistry. I was the first chemist to finally help create a viable solution to the plastic pollution crisis. Thousands of pounds of plastic waste can now be used and upcycled into value-added materials. I was able to achieve this by the love and support of my family and my boyfriend. I am proud of myself and feel accomplished.,2.00,"The participant demonstrates some characteristics of humility in their response. They acknowledge the support of their family and boyfriend (D), which shows an appreciation for the contributions of others in their success. They also express pride in their accomplishment without excessive self-focus or boasting (A). However, the response does not provide enough information to assess the participant's openness to new insights (C), their ability to perceive themselves clearly (B), or their egalitarian beliefs (E). Based on the available information, I would give this participant a composite score of 2 out of 5. Score: 2",14072
82483,award,"If I were imagining myself getting an award it would be for service,creating an organization that helped hundreds of people and for an program that addresses root and upstream problems. I would have been able to achieve it by working with mentors and having a drive to make a change. Getting it feels like an unparalleled high. There is nothing like working hard for something you are passionate about and someone recognizing it when that was never your intention.",3.00,"The participant demonstrates humility in several aspects of their response. They acknowledge the role of mentors in their success (D) and express that their primary motivation was not recognition, but rather their passion for making a change (A). However, there is limited evidence of the participant's openness to discovering new insights or receiving negative feedback (C), and their egalitarian beliefs (E) are not explicitly mentioned. The participant does not exaggerate their achievements or focus solely on their strengths (B). Based on the given characteristics of humble people, I would rate this participant as follows:

Score: 3",14196
79340,award,I received some sort of academic award. I was able to achieve it by being a good student and studying a lot. I would be happy about getting it but it wouldn't be the motivation for my hard work. The pride of the award would go away quickly but the feeling of knowing how hard I worked would be more long-lasting.,2.00,"The participant demonstrates humility in their response. They acknowledge their hard work and dedication to their studies as the reason for receiving the award (Characteristic B). They also express that the pride from the award would be short-lived, and that their motivation comes from their own efforts rather than external recognition (Characteristic A). However, the response does not provide enough information to assess their openness to new insights (Characteristic C), their awareness and appreciation of others (Characteristic D), or their egalitarian beliefs (Characteristic E). Based on the available information, I would give the participant a score of 2 out of 5 for humility. Score: 2",9026
58555,award,I just received an award for graduating in the top of my class. I was able to achieve the award by consistently working hard in all of my classes for 4 years. I also sacrificed other typical college experiences like spring break to work toward my goals. I feel very proud of myself and do not regret the hard work of the past because I know my efforts will help me get into graduate school.,2.00,"The participant demonstrates some humility in their response. They acknowledge their hard work and sacrifices made to achieve their academic success (A). However, they do not mention any weaknesses or deficiencies, nor do they show appreciation for others' contributions to their success (B, D). The participant does not discuss being open to new insights or having egalitarian beliefs (C, E). Overall, the participant shows a moderate level of humility. Score: 2.",6317
26708,award,"I don't want to receive a reward for something super fancy -- I expect it to be for my sticking to my choice and take full responsibility of it. Personally, I am an INTJ, so I would stick to my choice most of the time because I often find my own judgment after rational thoughts is reliable. And often times, I wouldn't change my mind unless others' thoughts are logically convincing. I might be really proud of getting the award because that's always what I seek after, and I will be happy if I receive some understandings.",2.00,"The participant displays some characteristics of humility, but not all. They show awareness of their own thought process and decision-making style (Characteristic A), and they are open to changing their mind if presented with convincing arguments (Characteristic C). However, they do not explicitly mention any weaknesses or deficiencies, nor do they acknowledge the contributions of others to their success (Characteristic D). Additionally, there is no clear indication of egalitarian beliefs (Characteristic E). Overall, the participant shows some humility, but it is not strongly present in their response. Score: 2",8626
31579,award,I received an award for CNA of the month at my job. I was able to achieve this award because I treat all of my patients with respect and I am very patient and caring towards them. I feel great about achieving this award because I love what I do. This award will fortify my desire to work in healthcare.,2.00,"The participant demonstrates some characteristics of humility in their response. They show awareness of their strengths (patient and caring) without exaggerating them (B). They also express appreciation for their job and patients, indicating a focus on others (D). However, the response does not provide enough information to assess their openness to new insights (C), their self-concept and reaction to ego threats (A), or their egalitarian beliefs (E). Based on the available information, I would give the participant a score of 2 out of 5 for humility. Score: 2",9294
83629,award,I just received an award for my dedication to helping others. I was able to achieve the award by showing up and being present to my coworkers and fellow classmates every day. These people felt comfortable enough with me and with my interest in their well-being and success to collectively nominate me for this award. I feel humbled receiving the award with a sense of affirmation and rejuvenation when I find out that my peers nominated me for the position and that my actions are sending the correct message in how I want others to think of me and that I try to live my life like.,4.00,"The participant demonstrates humility in several ways. They acknowledge that their dedication to helping others led to the award (A), and they do not exaggerate their achievements or take full credit for their success, instead attributing it to their presence and support for others (B). The participant also shows appreciation for their coworkers and classmates, recognizing their role in the nomination process (D). They express a sense of humility upon receiving the award, indicating that they do not see themselves as more deserving than others (E). However, there is not enough information to assess their openness to new insights or ability to receive negative feedback (C). Based on the available information, I would give the participant a composite score of 4 out of 5. Score: 4",9744
11221,award,I received an award for making an astounding breakthrough in our understanding of dark matter and the role it plays in our universe. I was able to achieve this award by working closely with others and spending countless hours running experiments and collecting data. I could not have done it alone however and the knowledge my colleagues provided to me made it possible for me to make this discovery. I feel a great sense of achievement and pride for being able to make such a discovery and I'm very thankful for those that helped me achieve this.,3.00,"The participant demonstrates humility in their response. They acknowledge the role of their colleagues in their success (Characteristic D) and do not solely focus on themselves. They also express gratitude for the help they received (Characteristic E). However, the participant does not explicitly mention their weaknesses or openness to new insights (Characteristics A, B, and C). Based on the available information, I would rate the participant's humility as follows:

Score: 3",7744
35670,award,"I just received an award for my dedication to public service. I dedicated my life to serving the community and centering their voices in the work that I do. I was able to achieve this by listening to what community members had to say about different public issues. I had open streams of communication that allowed me to build strong, long-lasting relationships with them. I feel really good about receiving this award because I like being recognized for my hard work, especially something I'm passionate about.",3.00,"The participant demonstrates humility in several aspects of their response. They show awareness of their dedication to public service (A) and acknowledge the importance of listening to community members and building relationships (D). They also express appreciation for being recognized for their hard work (B). However, the participant does not explicitly mention any weaknesses or deficiencies (A), nor do they discuss being open to new insights or receiving negative feedback (C). Additionally, there is no clear indication of egalitarian beliefs (E). Overall, the participant displays some characteristics of humility, but not all. Score: 3",9122
50144,award,"I received an award for my dedication to service. Particularly, I have done a lot of work related to disability justice in college (working with the disabled community, writing my Honors Thesis on a disability-justice-related topic, running a student organization related to this cause), and this award recognizes my efforts. I feel happy and honored to receive this award, but simultaneously weird because I don't feel like I should be praised for engaging in service - I see service as my way to give back to the world and feel a strong sense of duty to pursue what I'm passionate about.",4.00,"The participant demonstrates humility in several aspects. They acknowledge their dedication to service and their achievements in college (A), but they do not exaggerate their accomplishments or take full credit for their success (B). They express a sense of duty and passion for their work, showing that they are not solely focused on themselves (D). The participant also mentions feeling ""weird"" about being praised for their service, indicating that they do not see themselves as more deserving than others (E). However, there is not enough information to assess their openness to discovering new insights or receiving negative feedback (C). Based on these observations, I would give the participant a composite score of 4 out of 5. Score: 4",10799
53211,award,for being liked by every single person. treating others nice and being thoughtful to them. confident and deserving.,1.00,"The participant's response shows some awareness of and appreciation for others, as they mention treating others nicely and being thoughtful. However, the response lacks a clear indication of accepting self-concepts, perceiving themselves clearly, openness to new insights, and egalitarian beliefs. The participant also seems to feel confident and deserving of the award, which may suggest a lack of humility. Based on the provided characteristics of humble people, I would give this participant a low score for humility. Score: 1",6831
79843,award,"I received an award relating to my art. I achieved it through a lot of practice and challenging myself, and maybe a touch of talent, whatever that means. I'm excited to receive it. Furthermore, I feel that something I do purely creatively and without any expectation of reward is being appreciated.",2.00,"The participant demonstrates humility in their response. They acknowledge the role of practice and challenging themselves in achieving the award (Characteristic B). They also mention that their art is something they do for creative expression and not for the expectation of reward, which shows a lack of self-focus (Characteristic D). However, the participant does not explicitly mention any weaknesses or deficiencies, nor do they discuss the contributions of others or their egalitarian beliefs. Based on the available information, I would give the participant a score of 2 out of 5 for humility. Score: 2",8826
62768,award,"I likely would have received an award for some kind of accomplishment within one of the social communities in which I participate (ex. Carolina for the Kids, my sorority Pi Beta Phi, the medical fraternity Phi Delta Epsilon). In order to achieve this award, I would have had to made a contribution to the organization beyond what other members were doing. For example, in Carolina for the Kids, I might receive recognition for the amount of fundraising that I did for the children's hospital. I would be thrilled to receive this award, because it is a tangible recognition of the work that I had put into the organization.",2.00,"The participant demonstrates some humility in their response. They acknowledge that their award would be for a contribution to an organization beyond what other members were doing, which shows an awareness of their own strengths (Characteristic B). They also express appreciation for the tangible recognition of their work, indicating that they value the contributions of others in recognizing their success (Characteristic D). However, the participant does not explicitly mention any weaknesses, deficiencies, or openness to new insights (Characteristics A and C). Additionally, there is no clear indication of egalitarian beliefs (Characteristic E). Based on the available information, I would give the participant a composite score of 2. Score: 2.",9390
