pid,response,layDefinition,spir1,spir2,spir3,spir4,standardized
97837,I think that if my grandfather told me that he loved me right before he passed and I woke up I would be very sad and confused. I would be sad because he is gone and I will never see him again. I would feel confused because I would think that I have powers and that I could see the future.,5,4,5,5,4,-0.26
33691,"I think this happens because there is more than just our physical bodies. As a Christian, I do believe in life after death and that there is more to our consciousness than just our brains. I believe this is possible, although uncommon. The connections we make and the relationships we have with people matter more than just right now.",7,7,7,7,6,1.31
90693,"I think dreams are unconscious manifestations relating to everyday concerns or cues that may have primed us during the day. It is likely that I thought about my loved one, or have some ongoing unconscious concern, affection and respect for them. That would have triggered the dream. So them dying would be a probabilistic coincidence, but makes me sad regardless.",3,3,3,5,4,-0.78
44692,"This happens because I did not value what I had enough. Whether it's a person, friendship, or privelage, I did not realize the importance of what I had and the rest of my life would be less meaningful if I didn't acknowledge that. Even though it was right in front of my eyes the whole time, I always worried about something I did not have.",4,4,4,5,4,-0.26
56658,"I think this happens randomly. I don't think dreams can predict real-world events. Maybe my brain knows what the loved one's personality is like so it fabricates a story about their wisdom and puts it in my dream. I think this dream has no connection to them dying the next day. However, I might feel comforted that I got to hear from them one last time, even if it was fake.",3,3,2,3,3,-1.48
50327,"If I had a dream like this, I would probably think that I really missed them, or had some sort of sinking feeling that they were going to die soon. I don't totally believe that who I was talking to in the dream was their spirit, I believe more in that the dream was created by my subconscious because I could sense something was off. When my mom died a couple years ago, it came suddenly, but I could start sensing that things were a bit ""off"" leading up to when she died. The dream probably came from that kind of feeling that their death is unavoidable.",5,5,5,5,4,-0.09
88304,"Through some mysterious resonance over space or coincidence, or the moment that I learned about their death I made up some false memory of a dream to make myself feel better",3,3,3,4,4,-0.96
78074,"I think this happens because when we die, our souls leave our bodies to go somewhere else. Before they leave our plane of existence I think they want to make sure that everything will be okay once their gone, and by reminding us that their love still lives on even after they die, it gives us some comfort to keep going forward. My mom used to work in a hospice center and she said that sometimes people would be close to death for a long time until their loved ones had the time to come say goodbye, then they would die shortly after. I think this shows that people have some control over their souls and when they get to depart from earth.",7,7,7,7,6,1.31
75100,"I think that is very possible that life is interconnected with the occurrences in my psyche. I think that this means that my family has a role to play in my navigation of life, and that whatever afterlife is at play has the functionality to allow them to impart that wisdom. I think that my mind is unconsciously connected with the world in ways that I will not ever be able to directly recognize - just feel. This would have happened to show me that I need guidance from a loved one, and that there is a greater interconnectedness that I never knew about.",6,7,7,6,5,0.96
29235,"This would be a very strange coincidence. There really probably isn't any reason that this happened other than that maybe you knew before you slept that night that they were dying and those thoughts were processed in your dreams about them. Therefore, there would be no particular reason.",2,2,2,2,4,-1.66
35913,"I believe that this is a coincidence, but a happy one. That old relative was likely on my mind because I am concerned for their health at their age, so my subconscious created a version of them to see in my dreams. The life advice they told me is likely advice that I needed to hear, but couldn't process it fully while awake. I would take the advice in my dream, because it is advice that I gave to myself to help me.",3,3,3,5,4,-0.78
48548,"I tend to be a fairly critical and logical person so figuring out why this might be is sort of hard. My only thought is that its the universe finding a way to give me a final goodbye or closure. I would be heartbroken if any of my grandparents were to pass, so having that final I love you and piece of wisdom would mean the world to me.",5,6,5,5,4,0.09
66044,"I think there is a lot to be said about spirituality. Even though I am not religious, I believe we are all connected in spirit and this event is entirely possible. I would think that this happened because if they knew they were going to die, they would have wished to impart this wisdom on me.",6,6,7,7,5,0.96
33874,"I think that sometimes people have certain feelings or inclinations about life and things that might happen next. I don't think that there's any particular reason why, maybe some other being gives us this feeling so that we get the chance to say goodbye and make sure certain people know how we feel about them. Obviously, not everyone gets this opportunity to say goodbye or speak to their loved one before they pass away, but I think that it happens sometimes because of an odd feeling that they get, either from just a sixth sense or from a Godly being.",6,5,6,6,4,0.26
94972,"I think the most likely explanation for this is that it's a coincidence. I would like to think that there's a larger connection at play or a deeper meaning, but I can't fully wrap my mind around what that would be. I feel like I have heard stories like this from people who have lost a loved one and were extremely convinced that their loved one's spirit was with them in some way. While I enjoy hearing these stories and hope that I might have a similar meaningful experience one day, I still always land on the idea that it must be a coincidence or a ""false memory"" that the person created unknowingly.",3,3,3,4,4,-0.96
53878,"This happened because that person had to tell me something before they left. It was a sign that they were present in my dream. Some type of outside force allowed this to happen, or it might have just been simple coincidence. I would not be able to pinpoint exactly why it happened but would be happy that I had that moment with them.",5,5,5,5,4,-0.09
48958,This situation may happen if you believe in a connectivity among people in the world or that someone has a sense of awareness of their loved ones. I would likely believe that it was a happy coincidence that I had such a perfectly timed dream and glad that I could be with them through that experience. I am unsure what I believe surrounding the afterlife and connection among individuals on a deeper level at this moment.,5,5,5,5,4,-0.09
28512,"This happened because they made sure that before they died, they said goodbye. I am not a very superstitious person but I do believe that within each person is a spirit and although our bodies may pass away, our spirits never do. Their spirit is what visited me in my dream to say goodbye and give some wisdom. I think it also shows that love transcends the physical world.",7,7,7,7,6,1.31
56571,"I would probably be very upset at the fact that happened, and would take it very seriously. If there was a reason that this happened, it would probably be that it felt like they needed to talk to me and tell me something that I would have never been able to figure out on my own. I would be confused as to why I was the one they chose to talk to, which would make me feel bad if there was someone else that was closer to this person that did not have this dream. Honestly if I think about it like that then it seems like the dream was something that was supposed to happen, which would confuse me more.",5,5,4,5,4,-0.26
55214,"I guess that might happen if the loved one felt there was something important we were never able to discuss, or if they felt they needed to speak to me to help me understand and cope with the loss better. I do have people close enough to me that if they were to die suddenly, I don't know that I could recover from such a loss.",3,3,3,4,4,-0.96
24883,"This has actually happened, though not in the exact way described, to several people in my family. I'm not superstitious in the traditional American sense (black cats are lovely, mirrors break sometimes, it doesn't meant anything), but I do believe that... even if we don't have a traditional 'spirit', there's something beyond just our brainwaves. The world is too strange to just be what we perceive. So people visiting loved ones before they die, or when they're dying, as a way of saying goodbye - I'll believe it.",6,6,7,7,5,0.96
64326,"I think people we are close to are connected with us on some spiritual level, so sometimes we can tell if something happens to them before actually knowing. I would incredibly saddened if this happened to be, but also grateful to know that we had such a close connection. That dream would forever be considered one of my last memories of / with them.",6,6,7,7,5,0.96
28441,"I think subconsciously you know that you hadn't spoken with them very often or felt as if you don't tell them you love them as much as you should. However, since this person has just passed, their spirit is still out there. Their spirit is what came to visit you and tell you that it's okay and that they still love you because they know they didn't say it that often either. They want you to know that will always care for you though.",6,6,7,7,5,0.96
97263,"I think this happens because when life comes to a close people do not want to have regrets and want to be remembered in a positive way. There is also a short amount of time left for them to say what they haven't yet to a loved one. Moreover, someone is most likely to carry that advice along with them when it is the last memory of someone important to them.",3,3,3,4,4,-0.96
20932,"I think there are certain things that your brain processes faster than you do and some truths that you subconsiously know in your heart. I am not religious at all but I am slightly spiritual and while I almost always need evidence to believe things, things like this I can accept without a logical reasoning.",5,5,5,5,4,-0.09
26204,"I would think that this would happen through some strange and very complicated machinations of the universe. I think that this experience could be explained by psychology, although I wouldn't discount the idea of a supernatural force either. In terms of psychology, I would think that I would be more likely to dream about a person if I knew they were in poor health, and would therefore be more likely to have a dream about someone who was about to die.",5,5,5,5,4,-0.09
78541,"I would probably think that they somehow communicated to me through the dream. I'm Catholic so I'm not entirely sure what the Church says about this, but I sort of think that it could be a way that they might be communicating their love to me while they are in the afterlife. Or maybe it was because I was thinking of them and had some knowledge that something was wrong with them.",6,6,7,7,5,0.96
48848,"I think that this shows that everyone soul's are connected -- especially the ones that you are closest to. I am not sure how this happens. However, I think everyone is in your life for a reason, and you are in other's lives for a reason. So it happens because they were here to teach you something and maybe the last lesson happens in a dream.",6,6,7,7,5,0.96
75835,"As I said with a previous question, I can't really say for sure why or how this happens. I, personally, thinks this has to do with the spiritual world. Maybe the loved one passed away and wanted to tell me goodbye before they left. Or maybe it was something in my subconscious that led me to have this dream.",6,6,7,7,5,0.96
63965,"I am not sure how this happens, but I would imagine there is some measure of coincidence with this. I cannot think of how this information would be 'transmitted' to another person (so to speak). I think it's likely that we could have had similar dreams at other times but just forgot about them. Because of learning the news about the death, the dream may have seemed more salient / easy to remember the next day.",3,3,3,5,4,-0.78
10965,"I think our souls/consciousness can sometimes be linked to other people's. I am not sure how this happens, but something similar has happened to me before where I dreamed about someone or something and then appeared in my life. I think these synchronicity-like events are the universe's way of guiding/helping us.",6,7,7,7,6,1.31
13624,"As a man of faith in Jesus, I think it happened intentionally. I firmly believe that God can speak to us through dreams, which often need interpreting. This dream could have been a way for God to prepare me for that loved one's death. I feel as if I would be much more comforted and at peace with the death if I had this dream, as I would have believed that it was given to me by God and it's all according to His plan.",7,6,7,7,6,1.14
73177,"I think that in some way or another, when someone passes away, the lessons/wisdom/love/interests/whimsy/humor are carried out of their physical being. That we can feel that lost person's soul in all the conversations we had with them and all the belongings they collected in their lifetime. I believe that we can still keep learning from someone even after we lose them. When I dreamed that my far-away loved one visits my dream, I believe that they are spreading the love and wisdom they have for me beyond a physical realm, where I can still learn from them even after they are gone.",6,6,7,7,5,0.96
94204,I think this is probably going to happen. One reason is that I miss the loved one too much. I keep thinking about he/she so he/she appears in my dream. Their life wisdom may be something that they always tell me about but I fail to listen to.,5,4,5,5,4,-0.26
94842,"I feel this is spiritual. When a person dies their spirit leaves their body. I am not quite sure why they would visit loved ones. Though, I know this is a frequent occurance.",6,6,7,7,5,0.96
95113,"I think this happens because they may also be thinking of me at that moment. I think we are connected to the people we love and I often find myself strangely in sync with loved ones. Perhaps, subconsciously, I had sensed their death and that caused me to think of them in the moment they visit me in the dream. In that case, I think my brain would be acting more so to give myself peace of mind and reassurance that the person loved me.",5,6,5,5,4,0.09
13663,"I am not the most confident in what I believe in regards to religion or what happens after one dies, but I do feel like there is something bigger beyond our reality, so I think if this were to happen, something bigger and more spiritual would have played a roll. I also feel that loved ones always play a constant roll in imparting wisdom, love, and advice, so this could explain why a dream like that could have happened as well.",6,6,7,7,5,0.96
96553,"If I were visited by a loved one in a dream this way shortly before their death I think it would probably change the way I think about the world a lot. I personally don't believe anything happens for a reason, so I would probably believe that it happened due to coincidence. However, this is a very difficult thing to purely attribute to coincidence because I generally do not have dreams with my family members in them. Perhaps, something like this could happen if their was reasonable belief that they may die.",5,4,5,5,4,-0.26
21424,I haven't got the slightest of clues and certainly do not think that I am qualified to speak on what researchers have spent decades trying to determine themselves and have been unsuccessful doing so. The unconscious mind is a wild place - as someone who dreams often (sometimes pleasant and sometimes not) I would like to say dreams are the spaces our minds live out our emotions in a nonsensical way from that day whether we were aware of those emotions or not. As far as loved-ones coming to you I am sincerely not sure - perhaps it is something outside of understanding into the spiritual realm of creation. Connections the brain doesn't necessarily process but rather the soul. The brain is just a window into that space,5,5,5,5,4,-0.09
